Data;Horário;Camp.;Rodada;Dia;Local;Resultado;GP;GC;Oponente;xG;xGA;Posse;Público;Capitão;Formação;Árbitro
05/04/2023;17:00 (19:00);Libertadores;Estágio de grupos;qua;Visitante;D;1;2;ec SD Aucas;0.9;1.4;60;;Everton Ribeiro;3-4-3;José Argote
16/04/2023;16:00;Série A;Rodada da semana 1;dom;Em casa;V;3;0;Coritiba;1.4;0.4;58;42.848;Everton Ribeiro;4-2-3-1;Rodrigo José Pereira de Lima
19/04/2023;21:30;Libertadores;Estágio de grupos;qua;Em casa;V;2;0;cl Ñublense;1.9;0.1;57;48.895;Gabriel Barbosa;3-5-2;Wilmar Roldán
23/04/2023;11:00;Série A;Rodada da semana 2;dom;Visitante;D;1;2;Internacional;1.5;1.1;64;45.751;Everton Ribeiro;4-1-2-1-2;Ramon Abatti Abel
30/04/2023;16:00;Série A;Rodada da semana 3;dom;Em casa;D;2;3;Botafogo (RJ);3.1;1.9;74;53.138;Gabriel Barbosa;37714;Edina Alves Batista
04/05/2023;19:00;Libertadores;Estágio de grupos;qui;Visitante;E;1;1;ar Racing Club;1.1;0.9;69;25.325;Everton Ribeiro;4-3-1-2;Jesús Valenzuela
07/05/2023;16:00;Série A;Rodada da semana 4;dom;Visitante;D;1;2;Ath Paranaense;1.5;1.0;60;32.949;Everton Ribeiro;3-4-3;Raphael Claus
10/05/2023;20:00;Série A;Rodada da semana 5;qua;Em casa;V;2;0;Goiás;2.6;0.7;57;44.948;Everton Ribeiro;4-2-3-1;Savio Pereira
13/05/2023;16:00;Série A;Rodada da semana 6;sáb;Visitante;V;3;2;Bahia;2.2;1.4;48;48.502;Gabriel Barbosa;4-1-4-1;Paulo Cesar Zanovelli da Silva
14/05/2023;16:00;Série A;Rodada da semana 6;sáb;Visitante;D;0;1;São Paulo;1.8;2.1;55;51.301;Everton Ribeiro;4-2-3-1;Paulo Cesar Zanovelli da Silva
15/05/2023;16:00;Série A;Rodada da semana 6;sáb;Visitante;V;1;0;Fluminense;0.9;0.8;52;48.502;Gabriel Barbosa;4-1-4-1;Paulo Cesar Zanovelli da Silva
16/05/2023;16:00;Série A;Rodada da semana 6;sáb;Visitante;D;1;0;Fluminense;0.9;0.8;52;48.502;Gabriel Barbosa;4-1-4-1;Paulo Cesar Zanovelli da Silva
17/05/2023;16:00;Série A;Rodada da semana 6;sáb;Visitante;V;2;0;Fluminense;0.9;0.8;52;48.502;Gabriel Barbosa;4-1-4-1;Paulo Cesar Zanovelli da Silva
