Data;Horário;Camp.;Rodada;Dia;Local;Resultado;GP;GC;Oponente;xG;xGA;Posse;Público;Capitão;Formação;Árbitro
02/04/2024;17:00 (19:00);Libertadores;Estágio de grupos;ter;Visitante;E;1;1;co Millonarios;1.6;1.7;56;22.205;Giorgian De Arrascaeta;4-2-3-1;Darío Herrera
10/04/2024;21:30;Libertadores;Estágio de grupos;qua;Em casa;;;;cl Palestino;;;;;;;
13/04/2024;;Série A;Rodada da semana 1;sáb;Visitante;;;;Atl Goianiense;;;;;;;
17/04/2024;;Série A;Rodada da semana 2;qua;Em casa;;;;São Paulo;;;;;;;
20/04/2024;;Série A;Rodada da semana 3;sáb;Visitante;;;;Palmeiras;;;;;;;
24/04/2024;20:30 (21:30);Libertadores;Estágio de grupos;qua;Visitante;;;;bo Bolívar;;;;;;;
27/04/2024;;Série A;Rodada da semana 4;sáb;Em casa;;;;Botafogo (RJ);;;;;;;
04/05/2024;;Série A;Rodada da semana 5;sáb;Visitante;;;;Bragantino;;;;;;;
07/05/2024;20:00 (21:00);Libertadores;Estágio de grupos;ter;Visitante;;;;cl Palestino;;;;;;;
11/05/2024;;Série A;Rodada da semana 6;sáb;Em casa;;;;Corinthians;;;;;;;
15/05/2024;21:30;Libertadores;Estágio de grupos;qua;Em casa;;;;bo Bolívar;;;;;;;
18/05/2024;;Série A;Rodada da semana 7;sáb;Visitante;;;;Vasco da Gama;;;;;;;
25/05/2024;;Série A;Rodada da semana 8;sáb;Em casa;;;;Grêmio;;;;;;;
28/05/2024;21:00;Libertadores;Estágio de grupos;ter;Em casa;;;;co Millonarios;;;;;;;
01/06/2024;;Série A;Rodada da semana 9;sáb;Visitante;;;;Ath Paranaense;;;;;;;
12/06/2024;;Série A;Rodada da semana 10;qua;Em casa;;;;Bahia;;;;;;;
15/06/2024;;Série A;Rodada da semana 11;sáb;Visitante;;;;Fluminense;;;;;;;
19/06/2024;;Série A;Rodada da semana 12;qua;Visitante;;;;Juventude;;;;;;;
22/06/2024;;Série A;Rodada da semana 13;sáb;Em casa;;;;Cruzeiro;;;;;;;
26/06/2024;;Série A;Rodada da semana 14;qua;Visitante;;;;Atlético Mineiro;;;;;;;
29/06/2024;;Série A;Rodada da semana 15;sáb;Em casa;;;;Cuiabá;;;;;;;
03/07/2024;;Série A;Rodada da semana 16;qua;Em casa;;;;Fortaleza;;;;;;;
06/07/2024;;Série A;Rodada da semana 17;sáb;Visitante;;;;Internacional;;;;;;;
10/07/2024;;Série A;Rodada da semana 18;qua;Em casa;;;;Criciúma;;;;;;;
17/07/2024;;Série A;Rodada da semana 19;qua;Visitante;;;;Vitória;;;;;;;
20/07/2024;;Série A;Rodada da semana 20;sáb;Em casa;;;;Atl Goianiense;;;;;;;
27/07/2024;;Série A;Rodada da semana 21;sáb;Visitante;;;;São Paulo;;;;;;;
03/08/2024;;Série A;Rodada da semana 22;sáb;Em casa;;;;Palmeiras;;;;;;;
10/08/2024;;Série A;Rodada da semana 23;sáb;Visitante;;;;Botafogo (RJ);;;;;;;
17/08/2024;;Série A;Rodada da semana 24;sáb;Em casa;;;;Bragantino;;;;;;;
24/08/2024;;Série A;Rodada da semana 25;sáb;Visitante;;;;Corinthians;;;;;;;
31/08/2024;;Série A;Rodada da semana 26;sáb;Em casa;;;;Vasco da Gama;;;;;;;
14/09/2024;;Série A;Rodada da semana 27;sáb;Visitante;;;;Grêmio;;;;;;;
21/09/2024;;Série A;Rodada da semana 28;sáb;Em casa;;;;Ath Paranaense;;;;;;;
28/09/2024;;Série A;Rodada da semana 29;sáb;Visitante;;;;Bahia;;;;;;;
04/10/2024;;Série A;Rodada da semana 30;sex;Em casa;;;;Fluminense;;;;;;;
19/10/2024;;Série A;Rodada da semana 31;sáb;Em casa;;;;Juventude;;;;;;;
25/10/2024;;Série A;Rodada da semana 32;sex;Visitante;;;;Cruzeiro;;;;;;;
06/11/2024;;Série A;Rodada da semana 33;qua;Em casa;;;;Atlético Mineiro;;;;;;;
20/11/2024;;Série A;Rodada da semana 34;qua;Visitante;;;;Cuiabá;;;;;;;
23/11/2024;;Série A;Rodada da semana 35;sáb;Visitante;;;;Fortaleza;;;;;;;
30/11/2024;;Série A;Rodada da semana 36;sáb;Em casa;;;;Internacional;;;;;;;
04/12/2024;;Série A;Rodada da semana 37;qua;Visitante;;;;Criciúma;;;;;;;
08/12/2024;;Série A;Rodada da semana 38;dom;Em casa;;;;Vitória;;;;;;;
